Chapter 1: Law 1: Never Outshine the Master; ''
Chapter 2: Law 2: Never Put Too Much Trust in Friends, Learn How to Use Enemies; ''
Chapter 3: Law 3: Conceal Your Intentions; ''
Chapter 4: Law 4: Always Say Less Than Necessary; ''
Chapter 5: Law 5: So Much Depends on Reputation — Guard It with Your Life; ''
Chapter 6: Law 6: Court Attention at All Costs; ''
Chapter 7: Law 7: Get Others to Do the Work for You, but Always Take the Credit; ''
Chapter 8: Law 8: Make Other People Come to You — Use Bait if Necessary; ''
Chapter 9: Law 9: Win Through Your Actions, Never Through Argument; ''
Chapter 10: Law 10: Infection: Avoid the Unhappy and Unlucky; ''
Chapter 11: Law 11: Learn to Keep People Dependent on You; ''
Chapter 12: Law 12: Use Selective Honesty and Generosity to Disarm Your Victim; ''
Chapter 13: Law 13: When Asking for Help, Appeal to People’s Self-Interest, Never to Their Mercy or Gratitude; ''
Chapter 14: Law 14: Pose as a Friend, Work as a Spy; ''
Chapter 15: Law 15: Crush Your Enemy Totally; ''
Chapter 16: Law 16: Use Absence to Increase Respect and Honor; ''
Chapter 17: Law 17: Keep Others in Suspended Terror: Cultivate an Air of Unpredictability; ''
Chapter 18: Law 18: Do Not Build Fortresses to Protect Yourself — Isolation is Dangerous; ''
Chapter 19: Law 19: Know Who You’re Dealing With — Do Not Offend the Wrong Person; ''
Chapter 20: Law 20: Do Not Commit to Anyone; ''
Chapter 21: Law 21: Play a Sucker to Catch a Sucker — Seem Dumber Than Your Mark; ''
Chapter 22: Law 22: Use the Surrender Tactic: Transform Weakness into Power; ''
Chapter 23: Law 23: Concentrate Your Forces; ''
Chapter 24: Law 24: Play the Perfect Courtier; ''
Chapter 25: Law 25: Re-Create Yourself; ''
Chapter 26: Law 26: Keep Your Hands Clean; ''
Chapter 27: Law 27: Play on People’s Need to Believe to Create a Cultlike Following; ''
Chapter 28: Law 28: Enter Action with Boldness; ''
Chapter 29: Law 29: Plan All the Way to the End; ''
Chapter 30: Law 30: Make Your Accomplishments Seem Effortless; ''
Chapter 31: Law 31: Control the Options: Get Others to Play with the Cards You Deal; ''
Chapter 32: Law 32: Play to People’s Fantasies; ''
Chapter 33: Law 33: Discover Each Man’s Thumbscrew; ''
Chapter 34: Law 34: Be Royal in Your Own Fashion: Act Like a King to Be Treated Like One; ''
Chapter 35: Law 35: Master the Art of Timing; ''
Chapter 36: Law 36: Disdain Things You Cannot Have: Ignoring Them Is the Best Revenge; ''
Chapter 37: Law 37: Create Compelling Spectacles; ''
Chapter 38: Law 38: Think as You Like but Behave Like Others; ''
Chapter 39: Law 39: Stir Up Waters to Catch Fish; ''
Chapter 40: Law 40: Despise the Free Lunch; ''
Chapter 41: Law 41: Avoid Stepping into a Great Man’s Shoes; ''
Chapter 42: Law 42: Strike the Shepherd and the Sheep Will Scatter; ''
Chapter 43: Law 43: Work on the Hearts and Minds of Others; ''
Chapter 44: Law 44: Disarm and Infuriate with the Mirror Effect; ''
Chapter 45: Law 45: Preach the Need for Change, but Never Reform Too Much at Once; ''
Chapter 46: Law 46: Never Appear Too Perfect; ''
Chapter 47: Law 47: Do Not Go Past the Mark You Aimed For; In Victory, Learn When to Stop; ''
Chapter 48: Law 48: Assume Formlessness; ''
