Chapter 1: Introduction; ''
Chapter 2: 1. Master Your Emotional Self: The Law of Irrationality; ''
Chapter 3: 2. Transform Self-love into Empathy: The Law of Narcissism; ''
Chapter 4: 3. See Through People’s Masks: The Law of Role-playing; ''
Chapter 5: 4. Determine the Strength of People’s Character: The Law of Compulsive Behavior; ''
Chapter 6: 5. Become an Elusive Object of Desire: The Law of Covetousness; ''
Chapter 7: 6. Elevate Your Perspective: The Law of Shortsightedness; ''
Chapter 8: 7. Soften People’s Resistance by Confirming Their Self-Opinion: The Law of Defensiveness; ''
Chapter 9: 8. Change Your Circumstances by Changing Your Attitude: The Law of Self-Sabotage; ''
Chapter 10: 9. Confront Your Dark Side: The Law of Repression; ''
Chapter 11: 10. Beware the Fragile Ego: The Law of Envy; ''
Chapter 12: 11. Know Your Limits: The Law of Grandiosity; ''
Chapter 13: 12. Reconnect to the Masculine or Feminine Within You: The Law of Gender Rigidity; ''
Chapter 14: 13. Advance with a Sense of Purpose: The Law of Aimlessness; ''
Chapter 15: 14. Resist the Downward Pull of the Group: The Law of Conformity; ''
Chapter 16: 15. Make Them Want to Follow You: The Law of Fickleness; ''
Chapter 17: 16. See the Hostility Behind the Friendly Façade: The Law of Aggression; ''
Chapter 18: 17. Seize the Historical Moment: The Law of Generational Myopia; ''
Chapter 19: 18. Meditate on Our Common Mortality: The Law of Death Denial; ''
